Shipment ID	FBA15TFHC8R0
Name	FBA (11/12/20, 11:49 PM) - 1
Plan ID	PLN36GMP9Y
Ship To	SMF3, 3923 S B ST, Stockton, CA, US, 95206-8202
Total SKUs	24
Total Units	488
shipment-total-cases	24
Pack list	1 of 1

Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who will prep?	Prep Type	Who will label?	Units per Case	Number of Cases	Shipped
CU004-1	Chardin home Pack of 2 Decorative Farmhouse Throw Pillow Covers Jute Burlap Fringe Pillowcases for Couch Sofa Bedroom, 18 x 18 Inch, Natural Jute Color.: Natural	B08N6PRWXH	X002PIYC73		New	"--"	"--"	Merchant	10	1	10
CU005-1	Farmhouse Decor Pillow Covers, Black and White Checkers Cotton Throw Pillow Covers, Soft Cushion Cover Decorative Pillowcase for Bed/Sofa/Chair/Couch, 18”x18”(45X45cm), Set of 4	B08MY1YWJL	X002PDSMD3		New	"--"	"--"	Merchant	28	1	28
CU015-1	Chardin home Pack of 2 Decorative Farmhouse Throw Pillow Covers Jute Burlap Natural Pleated Ruffled Pillowcases for Couch Sofa Bedroom, 18 x 18 Inch, Natural Jute Color: Natural	B08N6RFSN1	X002PJ690P		New	"--"	"--"	Merchant	10	1	10
CU015-2	Chardin home Pack of 2 Decorative Farmhouse Throw Pillow Covers Jute Burlap with Metallic Silver Pleated Ruffled Pillowcases for Couch Sofa Bedroom, 18 x 18 Inch, Natural Jute Silver.	B08N6QFHJS	X002PJERQ3		New	"--"	"--"	Merchant	10	1	10
CU015-3	Chardin home Pack of 2 Decorative Farmhouse Throw Pillow Covers Jute Burlap with Metallic Gold Pleated Ruffled Pillowcases for Couch Sofa Bedroom, 18 x 18 Inch, Natural Jute Gold.	B08N6SH5PN	X002PJ6BI5		New	"--"	"--"	Merchant	10	1	10
NP001-1	Chardin Home100% Cotton Napkin in Check Design for Weddings Celebrations, and Everyday use. Machine Washable Dinner Napkins Set of 4,Black White,Size:20”x20”	B08MY19V96	X002PDSIUZ		New	"--"	"--"	Merchant	31	1	31
PM008-1	Chardin home 100% Natural Jute Burlap with Lace Fringes/Tassels, Rustic, Vintage Placemats for Parties, BBQ's, Everyday use, Holidays and Special Occasions. Set of 4 placemats. Size: 13”x19”	B08ND5DZPC	X002PKZRIT		New	"--"	"--"	Merchant	25	1	25
PM009-1	Chardin home 100% Natural Jute Burlap Fringe, Rustic, Vintage Placemats, for Parties, BBQ's, Everyday use, Holidays and Special Occasions. Set of 4 placemats-13''x19'', Natural	B08MDX49QY	X002P66L5V		New	"--"	"--"	Merchant	21	1	21
PM009-2	Chardin home Natural Jute Burlap with Metallic Silver, Rustic, Vintage Placemats, for Parties, BBQ's, Everyday use, Holidays and Special Occasions. Set of 4 placemats, 13''x19'', Natural-Silver	B08MDZCQWF	X002P642QL		New	"--"	"--"	Merchant	35	1	35
PM009-3	Chardin home Natural Jute Burlap with Metallic Gold, Rustic, Vintage Placemats, for Parties, BBQ's, Everyday use, Holidays and Special Occasions. Set of 4 placemats, 13''x19'', Natural-Gold	B08MDZM3ZN	X002P66LFV		New	"--"	"--"	Merchant	29	1	29
PM010-1	Chardin home 100% Natural Jute Burlap Round Pleated, Rustic, Vintage Placemats for Parties, BBQ's, Everyday use, Holidays and Special Occasions. Set of 4 placemats. Size: 15” Round, Natural	B08MC5H7HS	X002P4KKKP		New	"--"	"--"	Merchant	25	1	25
PM010-2	Chardin home Natural Jute Burlap with Metallic Silver Round Pleated Ruffled, Rustic, Vintage Placemats for Parties, BBQ's, Everyday use, Holidays and Special Occasions. Set of 4 placemats. Size: 15”.	B08MC5SMVX	X002P4LSQP		New	"--"	"--"	Merchant	25	1	25
PM010-3	Chardin home Natural Jute Burlap with metallic Gold Round pleated ruffled, Rustic, Vintage Placemats for Parties, BBQ's, Everyday use, Holidays and special occasions. Set of 4 placemats. Size:15”Round	B08MC88ZD5	X002P4OKPB		New	"--"	"--"	Merchant	25	1	25
PM011-1	Chardin home Natural Jute Burlap with Black & White Check Border Round Pleated Ruffled, Rustic, Vintage Placemats for Parties, BBQ's, Everyday use,Holidays. Set of 4 placemats. Size: 15” Round	B08N13WXC1	X002PFYBEZ		New	"--"	"--"	Merchant	30	1	30
PM012-1	Chardin home – Check – 100% Cotton Placemats for Dinner Parties, Picnics, Special Occasions and Everyday use – Size: 13”X19, Color Name, Set of 4	B08MXZY7DG	X002PDSIRD		New	"--"	"--"	Merchant	12	1	12
TR007-1	Chardin home 100% Natural Jute Burlap with Lace Fringes/Tassels, Rustic, Vintage Table Runner for Parties, BBQ's, Everyday use, Holidays and Special Occasions. Size: 13”x72”	B08MCKQLFQ	X002P60ZNF		New	"--"	"--"	Merchant	25	1	25
TR008-1	Chardin home 100% Natural Jute Burlap, Rustic, Vintage Table Runner, for Parties, BBQ's, Everyday use, Holidays and Special Occasions. Set of 2-13''x108''	B08N15V5ZG	X002PFPC2P		New	"--"	"--"	Merchant	12	1	12
TR009-1	Chardin home 100% Natural Jute Burlap, Rustic, Vintage Table Runner, for Parties, BBQ's, Everyday use, Holidays and Special Occasions. Set of 2, 13''x72'', Natural	B08MF1NXMK	X002P642YX		New	"--"	"--"	Merchant	25	1	25
TR009-2	Chardin home Natural Jute Burlap with Metallic Silver, Rustic, Vintage Table Runner, for Parties, BBQ's, Everyday use, Holidays and Special Occasions. Set of 2 13''x72'', Natural-Silver	B08MF2SJZX	X002P66WPP		New	"--"	"--"	Merchant	5	1	5
TR009-3	Chardin home Natural Jute Burlap with Metallic Gold, Rustic, Vintage Table Runner, for Parties, BBQ's, Everyday use, Holidays and Special Occasions. Set of 2	B08N12HT59	X002PFYB7R		New	"--"	"--"	Merchant	10	1	10
TR010-1	Chardin home 100% Natural Jute Burlap Pleated Ruffled, Rustic, Vintage Table Runner for Parties, BBQ's, Everyday use, Holidays and Special Occasions. Size: 13”x72”	B08MCGN7Q3	X002P4SC5F		New	"--"	"--"	Merchant	20	1	20
TR010-2	Chardin home Natural Jute Burlap with Metallic Silver Pleated Ruffled,	B08N13DFPG	X002PFPBUD		New	"--"	"--"	Merchant	20	1	20
TR010-3	Chardin home Natural Jute Burlap with Metallic Gold Pleated Ruffled, Rustic, Vintage Table Runner for Parties, BBQ's, Everyday use, Holidays and Special Occasions. Size: 13”x72”	B08MCGSK3B	X002P4LW07		New	"--"	"--"	Merchant	20	1	20
TR011-1	Chardin home Natural Jute Burlap with Black & White Cotton Check Border Pleated Ruffled, Rustic, Vintage Table Runner for Parties, BBQ's, Everyday use, Holidays and Special Occasions. Size: 13”x72”	B08N13N3B8	X002PFYBL3		New	"--"	"--"	Merchant	25	1	25
